SAMPLE_NAME	READ_GROUP	AVG_SIZE


Reads available from NCBI SRA

SRR3294434.1	SRR3294434.1	2347MB
SRR3294462.1	SRR3294462.1	2201MB
SRR3294436.1	SRR3294436.1	2146MB
SRR3294435.1	SRR3294435.1	2003MB
SRR3294451.1	SRR3294451.1	1949MB
SRR3294473.1	SRR3294473.1	1944MB
SRR3294446.1	SRR3294446.1	1905MB
SRR3294437.1	SRR3294437.1	1883MB
SRR3294429.1	SRR3294429.1	1846MB
SRR3294482.1	SRR3294482.1	1834MB
SRR3294452.1	SRR3294452.1	1740MB
SRR3294441.1	SRR3294441.1	1724MB
SRR3294430.1	SRR3294430.1	1720MB
SRR3294450.1	SRR3294450.1	1714MB
SRR3294483.1	SRR3294483.1	1623MB
SRR3294440.1	SRR3294440.1	1604MB
SRR3294445.1	SRR3294445.1	1566MB
SRR3294467.1	SRR3294467.1	1541MB
SRR3294439.1	SRR3294439.1	1521MB
SRR3294438.1	SRR3294438.1	1435MB
SRR3294442.1	SRR3294442.1	1423MB
SRR3294444.1	SRR3294444.1	1390MB
SRR3294484.1	SRR3294484.1	1383MB
SRR3294459.1	SRR3294459.1	1369MB
SRR3294471.1	SRR3294471.1	1347MB
SRR3294443.1	SRR3294443.1	1343MB
SRR3294449.1	SRR3294449.1	1286MB
SRR3294447.1	SRR3294447.1	1270MB
SRR3294477.1	SRR3294477.1	1165MB
SRR3294460.1	SRR3294460.1	1133MB
SRR3294476.1	SRR3294476.1	1110MB
SRR3294456.1	SRR3294456.1	1102MB
SRR3294470.1	SRR3294470.1	1091MB
SRR3294468.1	SRR3294468.1	1071MB
SRR3294481.1	SRR3294481.1	1064MB
SRR3294472.1	SRR3294472.1	1063MB
SRR3294469.1	SRR3294469.1	1056MB
SRR3294457.1	SRR3294457.1	1028MB
SRR3294485.1	SRR3294485.1	1017MB
SRR3294466.1	SRR3294466.1	1009MB
SRR3294448.1	SRR3294448.1	969MB
SRR3294463.1	SRR3294463.1	921MB
SRR3294480.1	SRR3294480.1	914MB
SRR3294461.1	SRR3294461.1	913MB
SRR3294458.1	SRR3294458.1	911MB
SRR3294474.1	SRR3294474.1	891MB
SRR3294432.1	SRR3294432.1	866MB
SRR3294479.1	SRR3294479.1	857MB
SRR3294433.1	SRR3294433.1	855MB
SRR3294431.1	SRR3294431.1	845MB
SRR3294455.1	SRR3294455.1	813MB
SRR3294454.1	SRR3294454.1	740MB
SRR3294478.1	SRR3294478.1	729MB
SRR3294453.1	SRR3294453.1	724MB
SRR3294475.1	SRR3294475.1	713MB
SRR10578289	SRR10578289	11380MB
SRR10578288	SRR10578288	19572MB
SRR10578287	SRR10578287	14783MB
SRR10578286	SRR10578286	17191MB
SRR10578285	SRR10578285	13551MB
SRR10578283	SRR10578283	6647MB
SRR10578282	SRR10578282	22870MB
SRR10578281	SRR10578281	12439MB
SRR10578280	SRR10578280	5972MB
SRR10578279	SRR10578279	33473MB
SRR10578278	SRR10578278	23622MB
SRR10578277	SRR10578277	19318MB
SRR10578276	SRR10578276	25203MB
SRR10578275	SRR10578275	25643MB
SRR10578274	SRR10578274	9666MB
SRR10578272	SRR10578272	20815MB
