sour_diesel	SRR8181716	SRR8181717	SRR8181718
canna_tsu	SRR8181719	SRR8181720	SRR8181721
black_berry_kush	SRR8181731	SRR8181730	SRR8181732
black_lime	SRR8181722	SRR8181723	SRR8181724
cherry_chem	SRR8181726	SRR8181729	SRR8181728
mama_thai	SRR8181734	SRR8181735	SRR8181736
terple	SRR8181741	SRR8181742	SRR8181727
valley_fire	SRR8181725	SRR8181737	SRR8181738
white_cookies	SRR8181739	SRR8181740	SRR8181733
blue_cheese	SRR10871497,SRR10871498,SRR10871500,SRR10871501	SRR10871493,SRR10871494,SRR10871495,SRR10871496	SRR10871489,SRR10871490,SRR10871491,SRR10871492
cbd_skunk_haze	SRR10871511,SRR10871512,SRR10871513,SRR10871514	SRR10871506,SRR10871507,SRR10871508,SRR10871509	SRR10871502,SRR10871503,SRR10871504,SRR10871505
afghan_kush	SRR10871524,SRR10871525,SRR10871526,SRR10871527	SRR10871522,SRR10871523,SRR10871519,SRR10871520	SRR10871515,SRR10871516,SRR10871517,SRR10871518
chocolope	SRR10871537,SRR10871538,SRR10871539,SRR10871540	SRR10871533,SRR10871534,SRR10871535,SRR10871536	SRR10871528,SRR10871529,SRR10871530,SRR10871531
lemon_skunk	SRR10871532,SRR10871521,SRR10871543,SRR10871544	SRR10871487,SRR10871488,SRR10871510,SRR10871499	SRR10871485,SRR10871486,SRR10871541,SRR10871542
finola_prestalk	SRR7630402	SRR7630407	SRR7630408
finola_bulbous	SRR7630403	SRR7630404	SRR7630401
finola_stalked	SRR7630405	SRR7630406	SRR7630400
cannbio2-stage4	SRR10600904	SRR10600906	SRR10600907
cannbio2-stage3	SRR10600908	SRR10600912	SRR10600913
cannbio2-stage2	SRR10600916	SRR10600918	SRR10600920
cannbio2-stage1	SRR10600922	SRR10600923	SRR10600925
